Content,Date
"RT @#####: Tonight I lit a candle by the grave of the Unknown Warrior in Westminster Abbey in remembrance of those who gave their li…","May 07, 2020"
"RT @#####: Thank you to all of our carers for your fantastic work, day in, day out. You are pillars of society in the fight against…","May 07, 2020"
"RT @#####: Buffy the Airline Slayer https://t.co/XXIICEJ7sD","May 04, 2020"
"RT @#####: Warren Buffett said the $137 billion he had on hand “isn’t all that huge when you think about worst-case possibilities.”…","May 04, 2020"
"RT @#####: China reports the lowest number of active coronavirus cases since Wuhan went into lockdown https://t.co/Fb6owDpQUt","May 04, 2020"
"RT @#####: THIRD Russian doctor plunges from hospital window 24 hours after warning of PPE shortages amid coronavirus crisis https://t…","May 04, 2020"
"RT @#####: Scientists baffled by unusual coronavirus effect dubbed 'happy hypoxia' https://t.co/MvUT0saU0x https://t.co/grctWp2yA1","May 04, 2020"
"RT @#####: 'Once upon a virus': China mocks the US response to the coronavirus crisis with a Lego-like animation https://t.co/jLd1yihmwy","May 03, 2020"
"RT @#####: Bombshell 'Five Eyes' Western intelligence dossier claims China lied about human-to-human transmission https://t.co/YGel9WG…","May 03, 2020"
"RT @#####: Lawyer dresses as the Grim Reaper to protest the reopening of Florida beaches during the COVID-19 outbreak https://t.co/zEh…","May 03, 2020"
"RT @#####: Wuhan virus lab 'cover up': Startling photos of scientists wearing little or no protection as they handle deadly bat samples…","May 03, 2020"
"RT @#####: Warren Buffett's firm Berkshire Hathaway suffers nearly $50billion loss in first quarter https://t.co/9FaR8M6PYE","May 03, 2020"
"RT @#####: Warren Buffett says Berkshire have sold ALL $4BILLION of its airline stocks https://t.co/ocTSfFdPWt","May 03, 2020"
"RT @#####: Bring back DRIVE-IN MOVIES ??? Thinking driv-in’s could make a cool comeback during the #COVID19 era. Grew up with them as a…","May 03, 2020"
"RT @#####: ICYMI: Australia's @##### has launched a #coronavirus contact-tracing app called #CovidSafe as it starts to ease lockd…","May 01, 2020"
"RT @#####: Trump says "there's a lot of theories" about the origin of the coronavirus while national intelligence agencies believe #Cov…","May 01, 2020"
"RT @#####: Amazon extends work from home regime till October 2 https://t.co/6WruYJ39hc https://t.co/9k5mUrwurH","May 01, 2020"
"RT @#####: WHO ministerial to open on","May 18; UNICEF seeks flights for vaccines https://t.co/QURmq5JmUD https://t.co/MAnxqoGZjA","May 01, 2020"
"RT @#####: Fact Checker: Was the new coronavirus accidentally released from a Wuhan lab? It’s doubtful. https://t.co/hqiuPmErpZ","May 01, 2020"
"RT @#####: Donald Trump says he has seen evidence that the coronavirus started in Wuhan virology laboratory https://t.co/jpJydTWqZe","May 01, 2020"
"RT @#####: He made the claim at his White House press conference last night https://t.co/rJAmvYRJo3","May 01, 2020"
"RT @#####24: WATCH: Private security have prevented residents from running on the Umhlanga promenade. Unlike the packed Golden Mile, thi…","May 01, 2020"
"RT @#####: Unlike the Durban beachfront, the Umhlanga promenade is empty. Private security have closed off the area saying that it is too…","May 01, 2020"
"RT @#####: Banned from the global dollar payments system? No problem. Iran repairs Venezuela's refineries and Venezuela pays the r…","May 01, 2020"
"RT @#####: I like this! #ThursdayMotivation https://t.co/4NSA8tiHem","May 01, 2020"
"RT @#####: Apparently it's","May Day. Nice one, James! #WorkZone2 @##### https://t.co/Q5yxbUAAda","May 01, 2020"
"RT @#####: It's 9am Mzansi. Jog & walk time is over. Back indoors where you belong! (Stay safe. Flatten the curve ??) #WorkZone2 @#####…","May 01, 2020"
""
"RT @#####"FeboatHQ: Think of coronavirus as a test run: Australian military leaders warn we must prepare for worse https://t.co/avLXDEGhWH","Apr 29, 2020"
"RT @#####: In what the @##### warns could be a "famine of Biblical proportion," over 265 million people face food shortages in over 30 co…","Apr 29, 2020"
"RT @#####: Hard to see airlines back on their feet before a vaccine:","Apr 29, 2020"
"RT @#####: Now Trending: Passenger-Separating Airplane Seats https://t.co/tN64OghSxv #World https://t.co/77s29UuVSj","Apr 29, 2020"
"RT @#####: Now Trending: Empowering Pandemic Emojis https://t.co/NzIMPrnTGt #PopCulture https://t.co/S7IA0RZG1m","Apr 29, 2020"
"RT @#####: How to go from 1000 to 1,000,000 cases in 7 weeks... #COVID19 7 weeks ago: 1,000 cases 6 weeks ago: 6,135 cases 5 weeks ag…","Apr 29, 2020"
"RT @#####: More Americans have died from #COVID19 than 58,220 who died over two decades in Vietnam. Let that sink in. https://t.co/34…","Apr 29, 2020"
"RT @#####: Man dressed as grim reaper to visit Florida beaches that reopen too early https://t.co/Lky3C3Qv1y","Apr 29, 2020"
"RT @#####: #Coronavirus: Person going for walks dressed as 'scary' 17th century plague doctor sought by Norfolk Police https://t.co/jtDPM…","Apr 29, 2020"
"RT @#####: Please note these symptoms. Especially the tell-tale loss of smell or taste. #COVID19 https://t.co/DuPoo6Tf2n","Apr 28, 2020"
"RT @#####66ie29: Time lapse of a disinfection UVD robot. UV light helps kill bacteria and viruses with a 99.99% kill rate. How long before we…","Apr 27, 2020"
"RT @#####: Demo'd our Robot Disinfection Services by Xenex yesterday. It's a #chemicalfree way to destroy viruses, bacteria & fungi…","Apr 27, 2020"
"RT @#####: disinfectant Robot auto disinfects and sterilizer uv robot Spray rate: 800ml/H Battery:20Ah for 8 hours using Charging time:…","Apr 27, 2020"
"RT @#####: How long do you think it would take you to completely disinfect a hospital room? Made by UVD Robots, this UV-Disinfection robot c…","Apr 27, 2020"
"RT @#####: ?? lingers midair in crowded spaces or rooms that lack ventilation—buttresses that #Covid19 can spread through tiny airborne…","Apr 27, 2020"
"RT @#####: “The Preppers were right” ?? I’ve learned to admire @#####0kes over the last 3 months for his tea leaf reading, even though…","Apr 27, 2020"
"RT @#####: US military confirms authenticity of 3 UFO videos from 2004, 2015 https://t.co/CsjNmCd7wI","Apr 27, 2020"
"RT @#####: Pentagon formally releases 3 Navy videos showing "unidentified aerial phenomena" https://t.co/DNtaSBpV0q https://t.co/m2l1D7a1…","Apr 27, 2020"
"US military rolls out 'corona-killing' robots to disinfect bases https://t.co/PTWXbfwjaI via @#####","Apr 27, 2020"
"RT @#####: Staying out of the sunshine but still want to boost your immune system? ???? Our doctors can show you plenty of ways to s…","Apr 27, 2020"
"RT @#####: ??In patients with only mild and moderate #COVID19 symptoms, 86 per cent experienced loss of smell and 88 per cent a loss o…","Apr 27, 2020"
"RT @#####: ??lingers in the air in crowded spaces or rooms that lack ventilation—buttresses notion #Covid19 can spread through tiny air…","Apr 27, 2020"
"RT @#####: The CLOTTING RISK is quickly becoming a more problematic clinical issue in #COVID19. Even patients on blood thinner drugs a…","Apr 27, 2020"
"RT @#####: Coronavirus","May exploit our own immune system against us, find researchers https://t.co/FNm82F4boU","Apr 27, 2020"
"RT @#####: Insurers urged to focus on business continuity plans https://t.co/0KUL31HFk7 via @#####_Magazine #COVID?19 #Pandemic #Conta…","Apr 27, 2020"
"RT @#####: Now Trending: Bandana-Style Face Masks https://t.co/JpW6nPDPLO #Lifestyle https://t.co/PPd031PctU","Apr 27, 2020"
"RT @#####: Now Trending: Charitable Cloth Face Masks https://t.co/EBZjTWe3G8 #PopCulture https://t.co/Z8Z8WjRgP9","Apr 27, 2020"
"RT @#####: We've created a new report that overviews trends that are emerging or being accelerated due to #COVID19, to help the count…","Apr 27, 2020"
"RT @#####: California lessons from the 1918 pandemic: San Francisco dithered; Los Angeles acted and saved lives. But neither city kept its…","Apr 27, 2020"
"RT @#####: What happened one time when merchants wanted their goods and skipped quarantine. Greed kills. #COVID19 https://t.co/SDeDPJc…","Apr 27, 2020"
"RT @#####: Dominic Raab has said the Government is investigating "very carefully" https://t.co/Ti91n3uyTy","Apr 26, 2020"
"RT @#####: Where is Kim Jong Un? Here is what we know so far https://t.co/fTOBqjsDDQ https://t.co/hoRezrJHfW","Apr 26, 2020"
"RT @#####: China sends doctors to advise on Kim Jong Un https://t.co/579XRyLe2g","Apr 26, 2020"
"RT @#####"FeboatHQ: South Korea controlled its coronavirus outbreak in just 20 days. Here are the highlights from its 90-page playbook for flat…","Apr 26, 2020"
"RT @#####: We have opened a "3D printing farm" in collaboration with 3D printing companies and enthusiasts. The farm can produce around…","Apr 26, 2020"
"RT @#####: Update: Wuhan hospitals clear all #COVID19 cases after the last patient in serious condition is cured Friday https://t.co/8yP9D…","Apr 26, 2020"
"RT @#####: China shuts gyms and pools as it battles second wave of coronavirus https://t.co/LEUF184zXu","Apr 26, 2020"
"RT @#####: Satellite imagery of a parked train suggests Kim Jong Un","May have been at his holiday compound in North Korea’s east coast t…","Apr 26, 2020"
"RT @#####: Of all the family members who could eventually take the reins from North Korean leader Kim Jong Un, his sister seems like the…","Apr 26, 2020"
"RT @#####: Train possibly belonging to Kim Jong Un spotted at resort town https://t.co/a0qwgcajNq https://t.co/489GlAcCnF","Apr 26, 2020"
"RT @#####: #URGENT | Kim Jong-un's health not deteriorated - Russian lawmaker after talk with North Korean ambassador https://t.co/p7e…","Apr 26, 2020"
"RT @#####: Senator Lindsey Graham adds weight to rumours that Kim Jong-un is 'dead or incapacitated' https://t.co/TWNQK7BKBh","Apr 26, 2020"
"RT @#####: Kim Jong-Un's train captured in satellite images amid claims he is 'dead' https://t.co/TP5Wjl4jH7 https://t.co/PwRgJSD8gO","Apr 26, 2020"
"RT @#####: Kim Jong-un's doctor 'botched heart surgery as his hands were shaking', sources claim https://t.co/fS0cR6yTZL https://t.co…","Apr 26, 2020"
"RT @#####9NewsAUS: North Korea's leader Kim Jong Un has missed yet another significant public event fuelling speculation he is gravely ill. @#####…","Apr 26, 2020"
"RT @#####: China is said to have dispatched a medical team to the secretive state after reports Kim Jong Un under went a cardiovascular p…","Apr 26, 2020"
"RT @#####: Kim Jong Un's 'train seen in satellite images' amid conflicting reports about his health https://t.co/QJSjRWo12W","Apr 26, 2020"
"RT @#####: China has dispatched a team of senior doctors to treat Kim Jong-un, it was reported yesterday, amid conflicting account…","Apr 25, 2020"
"RT @#####: https://t.co/ifhiMHHXTG","Apr 25, 2020"
"RT @#####: Kim Jong-Un's sister won't take over if he dies, @##### argues. #NorthKorea https://t.co/ip5KPP6piL","Apr 25, 2020"
"RT @#####: Who would Kim Jong-un’s successor be? https://t.co/AOIUmpdcAZ","Apr 25, 2020"
"RT @#####: #URGENT | US think tanks reports of train reportedly belonging to N Korea's Kim at #Wonsan compound https://t.co/vvXjRArG4y…","Apr 25, 2020"
"RT @#####: Some sources claim the dictator has died while others say he is in a 'vegetative state'. https://t.co/sv32Wq7jMa","Apr 25, 2020"
"RT @#####_"Market: 2020, what a year!","Apr 25, 2020"
"RT @#####: Japanese media claims Kim Jong Un is in a 'vegetative state' after heart surgery https://t.co/kpSZb6bSJN https://t.co/Zxdmx…","Apr 25, 2020"
"RT @#####: China-backed journalist claims North Korean dictator has died https://t.co/tMtKJ2XQFV https://t.co/ZZSyzQj2je","Apr 25, 2020"
"RT @#####: Kim Jong Un remained absent as North Korean media celebrates on founding anniversary of armed forces https://t.co/83kTjH4ueX","Apr 25, 2020"
"RT @#####: Rumours about Kim Jong-un's health intensify as Chinese medical team is sent to North Korea https://t.co/fTxfMpq7B8","Apr 25, 2020"
"RT @#####: Exclusive: China sent team including medical experts to advise on North Korea’s Kim https://t.co/GHUB0zYJ7I https://t.co/btdag…","Apr 25, 2020"
"RT @#####_Post: #BREAKING: N. Korean leader #KimJongUn's health is reportedly in a vegetative state after undergoing a failed cardiovas…","Apr 25, 2020"
"RT @#####: At this point, I don’t care if you eat some garlic or wear it as a necklace. It’s officially not the worst quack idea anymo…","Apr 24, 2020"
"RT @#####: Oh whew. Just don’t injest. Got that cleared up. #COVID19","Apr 24, 2020"
"RT @#####: Coronavirus dies in SUNLIGHT in just minutes, reveals 'striking' study by US Department of Homeland Security https://t.co/hj…","Apr 24, 2020"
"RT @#####: Plasma therapy DOES work: Doctors says treatment saved the life of a coronavirus patient in Massachusetts https://t.co/XDeVR…","Apr 24, 2020"
"RT @#####: Pentagon is stepping up investigation into whether coronavirus is linked to Chinese biological warfare efforts https://t.co/…","Apr 24, 2020"
"RT @#####: Grant Shapps has said there are "tentative signs we are making progress". "The main reason is the way Britain has responded…","Apr 24, 2020"
"RT @#####: #BREAKING | Trump mulls idea of buying fuel, airline tickets for the US government in advance https://t.co/FLk9ZZ12Uh #Spu…","Apr 24, 2020"
"RT @#####: #BREAKING: U.S. President Donald Trump signs a 484-billion-dollar relief bill into law to aid small businesses, hospitals https…","Apr 24, 2020"
"RT @#####: #BREAKING Trump says spoke "sarcastically" about injecting disinfectants (AFP)","Apr 24, 2020"
"RT @#####: From The Archives: Man Just Buying One Of Every Cleaning Product In Case Trump Announces It’s Coronavirus Cure https://t.co/f…","Apr 24, 2020"
"RT @#####: Now Trending: Printed Paper Face Masks https://t.co/mOX0E3Ffwr #Lifestyle https://t.co/GJZm9VLKKC","Apr 24, 2020"
"RT @#####: Now Trending: Charitable Virtual Happy Hours https://t.co/GJjxwDlZpq #SocialGood https://t.co/sRnOCX67ZH","Apr 24, 2020"
"RT @#####: Now Trending: VR Fitness Subscriptions https://t.co/AkZb4FmSZW #Tech https://t.co/qwxFzyUh3z","Apr 24, 2020"
"RT @#####: Now Trending: Organic Cloth Mask Productions https://t.co/3RBW5YAOKm #SocialGood https://t.co/3jk39hsnzD","Apr 24, 2020"
"RT @#####: Discover trends that are emerging and accelerating due to the impact of COVID-19 with our new special report, The New Norm…","Apr 24, 2020"
"RT @#####: Now Trending: Pivoting Amid the Pandemic https://t.co/gdvaFiQ4zN #Business https://t.co/kx7EWdv3Um","Apr 24, 2020"
"RT @#####: Now Trending: Immunity-Boosting Juice Shots https://t.co/IyRj1N53Rn #Lifestyle https://t.co/Ukxk4y03R1","Apr 24, 2020"
"RT @#####: ??R=0.48 now in New Zealand! "The number of cases that each infected person passes onto is now 0.48, less than half person e…","Apr 22, 2020"
"RT @#####: ?? “multiple famines of "biblical proportions" in just a matter of months... warning that pandemic will push 130 million peo…","Apr 22, 2020"
"RT @#####: I’m worried a lot about Brazil and Russia epidemics, and also Turkey. Other counties seem to be improving but also hard to…","Apr 22, 2020"
"RT @#####: VENTILATOR STUDY: “some of the #Covid19 patients put on ventilators didn’t need to be, and that unusual features of the dis…","Apr 22, 2020"
"RT @#####: Oh boy... “There’s a possibility that the assault of the virus on our nation next winter will actually be even more difficu…","Apr 22, 2020"
"RT @#####"Marie: The #coronavirus caused two deaths in California in early and mid-"February, new tests show, suggesting the pathogen was circu…","Apr 22, 2020"
"RT @#####"Marie: Look-- you can see for yourself the oil glut. Tankers carrying enough crude to satisfy 20% of ?? consumption are gathered off…","Apr 22, 2020"
"RT @#####"Marie: #OOTT https://t.co/BmmEZJ8Dh8","Apr 22, 2020"
"RT @#####: American warships have sailed into disputed waters in the South China Sea, according to military analysts, heightening a stand…","Apr 22, 2020"
"RT @#####_com: #Australian frigate joins #US ships in S. #China Sea amid rising tension https://t.co/pJWozuIdT1 https://t.co/PEQ2GEE5N9","Apr 22, 2020"
"RT @#####: Gold prices extend gains after Trump tweet on Iran https://t.co/JI8nG5aICm #kitconews #gold #silver #investing #metals #f…","Apr 22, 2020"
"RT @#####: I have instructed the United States Navy to shoot down and destroy any and all Iranian gunboats if they harass our shi…","Apr 22, 2020"
"RT @#####: Sleepy Joe thought this was OK. Not me!","Apr 22, 2020"
"RT @#####: Iran says U.S. should focus on saving military from coronavirus https://t.co/fpZgsazuuY","Apr 22, 2020"
"RT @#####: Trump instructs U.S. Navy to destroy Iranian gunboats 'if they harass our ships at sea' https://t.co/9SvWGZelBS","Apr 22, 2020"
"RT @#####: Iran will fare better than others after oil price drop, says Rouhani https://t.co/CNbm1kCatO","Apr 22, 2020"
"RT @#####: Iran's Guards say they launch first military satellite into orbit https://t.co/amF2dMOsvP","Apr 22, 2020"
"RT @#####: Iran launches first military satellite, say Revolutionary Guards https://t.co/sxjuUsOhgq","Apr 22, 2020"
"RT @#####: The ingenuity & teamwork displayed by @#####, along with their task force partners while in quarantine,","May help u…","Apr 22, 2020"
"RT @#####: Demonstrating the true spirit of perseverance and putting the health and safety of their colleagues and community first…","Apr 22, 2020"
"RT @#####"FeboatHQ: Deep-UV LEDs Grown on SiC Substrates Could Help Eliminate Coronavirus from Surfaces https://t.co/NXLcwGu1Sr","Apr 22, 2020"
"RT @#####"FeboatHQ: UK scientists to make a million potential COVID-19 vaccines before proof https://t.co/BJCgX7ZRSP","Apr 22, 2020"
"RT @#####: ?? Oil for less than nothing? @#####"Marie explains how that happened and what to watch for next. More @#####: https://t.co…","Apr 22, 2020"
".@#####_rowling https://t.co/TtTRYBebTE","Apr 22, 2020"
"RT @#####: Viral load #SARSCoV2 persistence. See 4th figure. It’s a pretty long duration. #COVID19","Apr 22, 2020"
"RT @#####: “The researchers assessed the viral load - meaning the amount of the virus. ??The most aggressive strains created up to 270…","Apr 22, 2020"
"RT @#####: Bullish gold? Bank of America sees $3,000 an ounce—50% more than the all-time record https://t.co/In8hBk8dNG","Apr 22, 2020"
"RT @#####: Theoretical Commodities Trader Explodes Into Flash Of Pure Energy While Attempting To Buy Negative-Priced Oil https://t.co/Gl…","Apr 22, 2020"
"RT @#####: Virus from relapse cases not highly infectious: KCDC https://t.co/dU1K156U2i","Apr 22, 2020"
"RT @#####: And just like that, #trading is halted for the "US Oil Fund,"the ETF meant to tracks the #oil","Market as it seeks to change th…","Apr 21, 2020"
"RT @#####: After announcing that they would stop buying gold, the Russians went out and ... bought gold! Those rascals. Russia bou…","Apr 21, 2020"
"RT @#####: Take a guess which country is ready to reopen soon? The one that is falling off the chart. Way to go NZ! #COVID19 https://t…","Apr 21, 2020"
"RT @#####2050: You must all wear a mask https://t.co/AaZLs4CI0Y","Apr 21, 2020"
"RT @#####: Wishing Her Majesty The Queen a very happy 94th Birthday today! ???? https://t.co/X1ZUvtsRgn","Apr 21, 2020"
"RT @#####: The U.S. is seeking details about Kim Jong Un’s health after receiving information that the North Korean leader was in criti…","Apr 21, 2020"
"RT @#####: Trump says the U.S. will put as much as 75 million barrels of oil in the national petroleum reserve #PressBriefing #OilPrice…","Apr 20, 2020"
"RT @#####: What is happening... -$28 a barrel. MINUS 28... as in you get paid to take it off their hands. #COVID19","Apr 20, 2020"
"RT @#####: More like hyperDeflation","Apr 20, 2020"
"RT @#####"MarketWatch: U.S. oil's","May contract has just gone negative, plunging 154% and trading at negative $10 a barrel https://t.co/STbXdCNPNV","Apr 20, 2020"
"RT @#####: BREAKING: Crude oil prices on the","May contract plummet below negative $10 per barrel; crude oil is down more than 160% percent…","Apr 20, 2020"
"RT @#####: BREAKING: The #oil","Market continues to collapse, not only are prices at session lows but have turned negative, last tradi…","Apr 20, 2020"
"RT @#####: Wow. It’s not just negative but NEGATIVE $-10/barrel. #COVID19","Apr 20, 2020"
"RT @#####: one guesstimate of when june becomes","May: the june $22ish contract log-regressed. note the beyond-elegant kiss of","May & june…","Apr 20, 2020"
"RT @#####_: OIL IS NOW NEGATIVE $9.00 A BARREL YES, THIS IS NOT A TYPO NEGATIVE $9.00 A BARREL.","Apr 20, 2020"
"RT @#####: U.S. crude oil futures fall below $0 for the first time in history https://t.co/MG0hlwkHkB","Apr 20, 2020"
"RT @#####: Today we're launching https://t.co/JesNRc1Ll2 See how quickly #COVID19 is growing in each US state. Rt is the metric we need to…","Apr 20, 2020"
"RT @#####: !","Apr 20, 2020"
"RT @#####: oil goes negative","Apr 20, 2020"
"RT @#####_: BREAKING: OIL IS OFFICIALLY NEGATIVE IN THE UNITED STATES OF AMERICA.","AprIL 20, 2020 WILL BE REMEMBERED FOREVER.","Apr 20, 2020"
"RT @#####: BREAKING: WTI crude oil futures trade at negative price for first time https://t.co/pOSyH6AVtP https://t.co/XsoH1jG8WH","Apr 20, 2020"
"RT @#####: NEGATIVE CRUDE OIL. This is how oil ends. #COVID19 https://t.co/alV9b8Wz2j","Apr 20, 2020"
"RT @#####: With","May WTI Crude hitting $0.01 - the lowest level ever- here's where","Markets are hanging: https://t.co/qo3nLWPJHZ","Apr 20, 2020"
"RT @#####_: BREAKING: OIL DROP BELOW $1.00 A BARREL IT IS AT .46 CENTS! THIS IS INSANE! https://t.co/IhRsmlBqNJ","Apr 20, 2020"
"RT @#####: for @#####, @##### & the wonderful @##### team. this is a 'graft' of WTI to Saudi Light at 4/20/1983. it…","Apr 20, 2020"
"RT @#####: Meanwhile in Australia: https://t.co/y84XC1nNh4","Apr 20, 2020"
"RT @#####: BREAKING: Oil drops below $1 a barrel https://t.co/eKd7HuZjow https://t.co/bk0uPFlupN","Apr 20, 2020"
"RT @#####"MarketWatch: Yes, you're reading the crude oil prices correctly. And these U.S. oil companies are most at risk in the danger zone: htt…","Apr 20, 2020"
"RT @#####: Oil is cheaper than a cuppa coffee ??.","Apr 20, 2020"
"RT @#####: WOW... Reported #Tornado on an Inerstate near Wildwood, #Florida, USA. a little while ago this afternoon 20th","April! V…","Apr 20, 2020"
"RT @#####: Mount #Etna volcano sizzling this morning in Sicily, #Italy... #mountetna","Apr 20, 2020"
"RT @#####_updates: Remember at 9:55pm this evening the very bright #Starlink #Satellites will move across the sky, I recommend you go abou…","Apr 20, 2020"
"RT @#####: I don’t know about anyone else, but a decent #thunderstorm would go down a treat right now! Who’s with me ?? #naturelo…","Apr 20, 2020"
"RT @#####: WOW... #Tornado seen in Florida a little while ago this afternoon! #TORNADOWARNING ??","Apr 20, 2020"
"RT @#####: BREAKING: Oil drops below $2 a barrel https://t.co/t3BgDHfs0s https://t.co/Hk39WgzrAk","Apr 20, 2020"
"RT @#####: BREAKING: #Oil prices are trading at session lows around $4 a barrel. Prices are down more than 73% on the day | #kitcone…","Apr 20, 2020"
"RT @#####: BREAKING: #Oil now below $10. https://t.co/uzBTNN3xeh","Apr 20, 2020"
"RT @#####: In","January, a barrel of crude cost $60. https://t.co/o6qH83RDHh","Apr 20, 2020"
"RT @#####"Markets: Oil plunges through $10. Here's why https://t.co/RqxU5ysz4n https://t.co/A4gkRfNil6","Apr 20, 2020"
"Instagram founders launch COVID-19 spread tracker https://t.co/PMJYs1Mre1 https://t.co/VoDlTD8Sc1 via @#####","Apr 20, 2020"
"RT @#####: Well, you now have to pay someone to buy Western Canada Select oil. Unreal. https://t.co/rUsNJdLhoh","Apr 20, 2020"
"RT @#####: OMG. Oil futures for","May delivery crashing 37% right now. https://t.co/tTPYutRq0Y https://t.co/ocuSFOfQ8k","Apr 20, 2020"
"RT @#####_: BREAKING ???? WELCOME TO A WORLD OF NEGATIVE #OIL PRICES... Western Canadian Select is one of North America's largest h…","Apr 20, 2020"
"RT @#####: One barrel of a Texas crude oil now costs less than a Starbucks coffee. Let that sink in folks. #COVID19","Apr 20, 2020"
"RT @#####"Markets: Oil plunge continues, with","May contract dropping below $12 a barrel https://t.co/RqxU5ysz4n https://t.co/KXuRDdZdFB","Apr 20, 2020"
